PC1,PC2,UNS,Cluster
-3.7262445883423783,0.09126551126855144,very_low,2
-1.019881859457977,0.5127180729897943,high,2
-2.3933106484187343,0.2755472246352778,low,2
-1.6645749591604422,0.07242903678840788,middle,2
-1.607759597364274,0.14766618182087635,low,0
-1.0300771367141073,-0.41727231952988725,middle,2
-1.0828676105437072,-0.4787967093027302,middle,2
-2.382224909749443,-0.3084400421770914,very_low,2
-1.093245550548128,-0.16994482859398635,low,0
-0.8866897451599071,-0.7366756530753769,high,2
-0.0022466800345675763,-0.4535271192773858,high,1
-1.546579235283043,-0.9348040999389257,low,2
-0.8447435139323505,-0.8656408057324355,middle,0
-0.0911576197642985,-0.9749555065082569,high,1
-0.1288640102216462,-0.9067065158511236,middle,1
0.09128836619174975,-1.1236501142214654,high,1
-2.2380965726359623,-1.57902974318786,very_low,2
-1.9662315762978295,0.1076514921000615,low,2
-1.6458065302683946,0.30364575636195235,low,2
-0.4811103686816298,0.12591712704041128,middle,2
-1.1657170966169905,-0.23027992303026662,low,0
-0.5175160512351529,-0.18068519077643883,middle,2
-0.6573383133945556,-0.28904636885673307,middle,2
-1.0377396682608706,-0.2932345662769338,low,2
-0.9297887240019844,-0.803260630755471,low,0
0.2835034082470565,-1.186198944787188,high,1
-1.5867009097399922,-1.4248012313787908,very_low,2
-0.9262337593881752,-1.2869763050524783,low,2
0.4914016600045157,-1.3038046119422184,high,0
0.4693070530227574,-1.2877205373348886,high,1
-0.09397405803133622,-1.361428288879551,middle,1
-0.2707344046242547,-1.5251071530137428,low,0
-0.5816481256577121,-1.58174756840229,low,0
-0.5650880357864585,0.731946380606045,high,2
0.2262129331481536,0.02426592785555823,high,1
-1.4398930690428993,-0.22671220602752923,low,2
-0.7639235210482144,-0.4520990415950033,low,0
-1.1005961623311453,-0.33163151279680203,low,2
-1.9524327722227852,-0.741402632012447,very_low,2
-0.3061205059941218,-0.39307924564457947,middle,2
-1.2086674900942014,-1.0894861391327826,low,0
0.7031921369139117,-0.8307442582767782,high,1
0.23373647464931355,-1.0145874828002817,middle,1
